end,start,days,portfolio_return,factor_return,specific_return,fixed_weight_return,buy_and_hold_return,benchmark_return,ex_ante_factor_variance,ex_ante_specific_variance,ex_ante_total_variance,contrib_equity,contrib_rates_level,contrib_rates_slope,contrib_credit,contrib_commodity,contrib_dollar,impact,fees,shortfall,predicted,realised,residual
2012-12-31,2012-11-30,20,-0.009549889428,-0.01224482433,0.002694934898,-0.009457774922,-0.009661845753,0.00553264686,0.0004700464265,3.739184815e-05,0.0005074382747,0.0009828185135,-0.0109904304,-0.003231753419,0.001071244755,-0.0001019291533,2.522537897e-05,0.0005373352696,0,0.0005373352696,0.0005373352696,0.0005373352696,1.084202172e-19
2013-01-31,2012-12-31,21,-0.005252022887,-0.006957488199,0.001705465313,-0.005995624825,-0.005410367181,0.004427032055,0.0005020953824,5.342898423e-06,0.0005074382808,0.02359757832,-0.01757434761,-0.01214916959,-0.001062936004,7.395391511e-05,0.0001574327784,0.0004287520285,0,0.0004287520285,0.0004287520285,0.0004287520285,-1.084202172e-19
2013-02-28,2013-01-31,19,0.001630855349,0.0001435611298,0.00148729422,0.00216655737,0.001508331226,-0.003209266527,0.0004500026968,5.743551235e-05,0.0005074382091,0.00572061719,0.004161580024,-0.001286947979,0.001871765257,-0.000503351999,-0.009820101362,0.0004101074278,0,0.0004101074278,0.0004101074278,0.0004101074278,1.084202172e-19
2013-03-28,2013-02-28,19,0.02342614265,0.02434945703,-0.0009233143772,0.02353893213,0.02363123171,0.01009663065,0.0004853158533,2.212238551e-05,0.0005074382388,0.02451116167,0.001055602081,-0.0002971692632,-0.001275953609,0.0003216083991,3.420775238e-05,0.0005555871782,0,0.0005555871782,0.0005555871782,0.0005555871782,-1.084202172e-19
2013-04-30,2013-03-28,22,0.02140979958,0.02308954468,-0.001679745101,0.02188287466,0.02123810943,0.00922617312,0.00049133395,1.610424677e-05,0.0005074381968,0.01108183494,0.005569945597,0.00560237574,0.001995604799,-0.001292128075,0.000131911687,0.0001596601843,0,0.0001596601843,0.0001596601843,0.0001596601843,-2.710505431e-20
2013-05-31,2013-04-30,22,-0.00296963027,-0.003699638306,0.0007300080363,-0.003757078614,-0.003203707132,-0.03084179343,0.0005014274635,6.010740076e-06,0.0005074382036,0.02117499952,-0.01734365738,-0.006373064645,-0.001761315098,0.0002438668126,0.0003595324846,0.0002958901122,0,0.0002958901122,0.0002958901122,0.0002958901122,5.421010862e-20
2013-06-28,2013-05-31,20,-0.01915361381,-0.02114884553,0.001995231723,-0.01876072858,-0.01978452757,-0.03439358285,0.0005018387028,5.599494401e-06,0.0005074381972,-0.008803726148,-0.01323860408,0.001633158738,-0.0008285746857,0.0001540938791,-6.519324032e-05,6.433449578e-05,0,6.433449578e-05,6.433449578e-05,6.433449578e-05,1.355252716e-20
2013-07-31,2013-06-28,22,0.03266928822,0.03393663139,-0.001267343176,0.03262441715,0.03297153127,0.02373977985,0.0005015477686,5.890454304e-06,0.0005074382229,0.04282215513,-0.002437437632,-0.006755937494,0.0004289934231,-0.0001609582082,3.981617258e-05,4.01195116e-05,0,4.01195116e-05,4.01195116e-05,4.01195116e-05,0
2013-08-30,2013-07-31,22,-0.02430420605,-0.02222386427,-0.002080341778,-0.02387057066,-0.02430180447,-0.009374018233,0.0004996765414,7.761668575e-06,0.0005074382099,-0.01976366052,-0.004932561033,0.001939322943,-4.487629592e-05,0.000644588964,-6.667833366e-05,0.0001035744359,0,0.0001035744359,0.0001035744359,0.0001035744359,-4.065758147e-20
2013-09-30,2013-08-30,20,0.02801933919,0.02305413354,0.004965205651,0.02784657462,0.02828191632,0.01703909001,0.0004957460487,1.169216782e-05,0.0005074382165,0.02464349743,0.0006515906931,-0.0006754531307,-0.0001224142088,-0.001152660124,-0.0002904271194,0.0001088264082,0,0.0001088264082,0.0001088264082,0.0001088264082,0
2013-10-31,2013-09-30,22,0.01118659581,0.02465204721,-0.0134654514,0.01141707681,0.01090731662,0.01647251686,0.0004513405159,5.609769204e-05,0.000507438208,0.02446677426,0.0004547298529,9.892706479e-05,-0.0002422336197,-3.4648289e-05,-9.150206066e-05,0.0002297105911,0,0.0002297105911,0.0002297105911,0.0002297105911,-2.710505431e-20
